,ESR1,AURKA,ERBB2,Subtype
0,0.8045007371722258,0.2643563555720353,6.94167737916703,LumA
1,0.16359701922680908,0.589051581521765,6.551394273568836,Basal
2,0.569346935948572,0.18953062276582203,7.056530382884226,LumA
3,0.8475844587966916,0.2648491609336312,7.028625053222167,LumB
4,0.4424735072583641,0.5260399374330783,8.78360434117348,LumB
5,0.6216746060468069,0.30145113137075874,6.9390881306293695,LumA
6,0.686751818834748,0.37859765810124524,7.319283089120724,LumB
7,0.7544029868772503,0.32560980265631145,6.409165457938457,LumB
8,0.1531395442394877,0.4677023250391479,6.703901626305323,Basal
9,0.15016714327259403,0.43941119370268555,8.464074539620706,HER2+
10,0.7552321487485809,0.42617590198740407,7.307997726861643,LumB
11,0.8024182338248076,0.24562838553890592,7.019055210102073,LumB
12,0.6930815749652108,0.40436819407559443,8.62759868600377,LumB
13,0.6595197670217835,0.5084674541489606,7.391796876445084,HER2+
14,0.7747858451735402,0.47217782164479916,7.968565911401247,HER2+
15,0.6656601718943795,0.6751647389009029,7.108004181675476,LumB
16,0.7998848218979848,0.20899569673604368,7.172191653639417,LumA
17,0.5786747134874297,0.30510105385474134,7.820440251610093,LumB
18,0.824500009231247,0.3984544948232298,7.179004770598097,LumA
19,0.680824341759049,0.39215314626203707,7.110421166648031,LumB
20,0.4407670294428168,0.4890607461112526,7.238557222268359,HER2+
21,0.13328627218336034,0.3523575604472605,7.022355611773814,HER2+
22,0.7853986984461208,0.3271761616944652,6.901843183075774,LumB
23,0.8482508158865836,0.24241196379103516,7.053882328598907,LumB
24,0.8833198426953187,0.1821633643508064,7.441470124798606,LumA
25,0.0582645779216246,0.7093983230531522,6.542696221670091,Basal
26,0.3048740571584275,0.2107821275946238,8.02934754334842,LumA
27,0.8689131657886889,0.2543715407279968,7.086656720302213,LumA
28,0.11510087881901497,0.43843006149196007,7.900680532765151,HER2+
29,0.54308612389887,0.37973793155094415,8.656449827650357,HER2+
30,0.08300526598404274,0.3276813075087401,7.759543283738921,Basal
31,0.5845557267040091,0.10333965310933416,6.978147946719807,Normal Like
32,0.09367051236984085,0.479924887745648,6.816805022306063,Basal
33,0.694139034913042,0.1308100819853785,6.62158940710885,LumA
34,0.6387963351290094,0.12379261975308725,6.98210663265905,LumA
35,0.6909755788032317,0.22447541644215074,6.720974186248193,LumA
36,0.22115202097624168,0.31655087738073395,8.111156502827649,HER2+
